タイトル	名詞,*,*,*,*,タイトル,タイトル
行っ	動詞,*,促音便,連用形,カ行五段,行く,イッ
て	助詞,接続助詞,*,*,*,て,テ
み	動詞,*,*,連用形,マ行上一段,見る,ミ
たら	助動詞,*,*,仮定形,*,た,タラ
案外	副詞,*,*,*,*,案外,アンガイ
小ぢんまり	副詞,*,*,*,*,小ぢんまり,コジンマリ
と	助詞,格助詞,*,*,*,と,ト
し	動詞,*,*,連用形,サ行変格,為る,シ
た	助動詞,*,*,連体形,*,た,タ
町	名詞,*,*,*,*,町,マチ
で	助詞,格助詞,*,*,*,で,デ
二三	名詞,数詞,*,*,*,二三,ニサン
日	名詞,接尾辞,*,*,*,日,ニチ
も	助詞,副助詞,*,*,*,も,モ
あれ	動詞,*,*,仮定形,ラ行五段,有る,アレ
ば	助詞,接続助詞,*,*,*,ば,バ
殆ど	副詞,*,*,*,*,殆ど,ホトンド
制覇	名詞,*,*,*,*,制覇,セーハ
でき	動詞,*,*,連用形,カ行上一段,出来る,デキ
て	助詞,接続助詞,*,*,*,て,テ
しまう	動詞,*,*,連体形,ワア行五段,仕舞う,シマウ
よう	形状詞,*,*,*,*,様,ヨー
な	助動詞,*,*,連体形,*,だ,ナ
町	名詞,*,*,*,*,町,マチ
だっ	助動詞,*,促音便,連用形,*,だ,ダッ
た	助動詞,*,*,連体形,*,た,タ
ん	助詞,準体助詞,*,*,*,の,ン
で	助動詞,*,*,連用形,*,だ,デ
ちょっと	副詞,*,*,*,*,一寸,チョット
意外	形状詞,*,*,*,*,意外,イガイ
でし	助動詞,*,*,連用形,*,です,デシ
た	助動詞,*,*,終止形,*,た,タ
EOS
で	接続詞,*,*,*,*,で,デ
アメリカ	名詞,固有名詞,*,*,*,アメリカ,アメリカ
の	助詞,格助詞,*,*,*,の,ノ
子	名詞,*,*,*,*,子,コ
も	助詞,副助詞,*,*,*,も,モ
EOS
みんな	名詞,*,*,*,*,皆,ミンナ
車	名詞,*,*,*,*,車,クルマ
を	助詞,格助詞,*,*,*,を,オ
持っ	動詞,*,促音便,連用形,タ行五段,持つ,モッ
て	助動詞,*,*,連用形,*,てる,テ
て	助詞,接続助詞,*,*,*,て,テ
EOS
凄い	形容詞,*,*,連体形,形容詞型,凄い,スゴイ
車	名詞,*,*,*,*,車,クルマ
社会	名詞,*,*,*,*,社会,シャカイ
だっ	助動詞,*,促音便,連用形,*,だ,ダッ
た	助動詞,*,*,連体形,*,た,タ
ん	助詞,準体助詞,*,*,*,の,ン
です	助動詞,*,*,終止形,*,です,デス
けれど	助詞,接続助詞,*,*,*,けれど,ケレド
も	助詞,副助詞,*,*,*,も,モ
EOS
車	名詞,*,*,*,*,車,クルマ
が	助詞,格助詞,*,*,*,が,ガ
ない	形容詞,*,*,終止形,形容詞型,無い,ナイ
と	助詞,格助詞,*,*,*,と,ト
反対	名詞,*,*,*,*,反対,ハンタイ
に	助詞,格助詞,*,*,*,に,ニ
ちょっと	副詞,*,*,*,*,一寸,チョット
EOS
お	接頭辞,*,*,*,*,御,オ
金	名詞,*,*,*,*,金,カネ
も	助詞,副助詞,*,*,*,も,モ
掛かる	動詞,*,*,終止形,ラ行五段,掛かる,カカル
し	助詞,接続助詞,*,*,*,し,シ
厳しい	形容詞,*,*,終止形,形容詞型,厳しい,キビシー
か	助詞,終助詞,*,*,*,か,カ
な	助詞,終助詞,*,*,*,な,ナ
と	助詞,格助詞,*,*,*,と,ト
いう	動詞,*,*,連体形,ワア行五段,言う,ユー
感じ	名詞,*,*,*,*,感じ,カンジ
が	助詞,格助詞,*,*,*,が,ガ
し	動詞,*,*,連用形,サ行変格,為る,シ
まし	助動詞,*,*,連用形,*,ます,マシ
た	助動詞,*,*,終止形,*,た,タ
EOS
て	接続詞,*,*,*,*,で,テ
サンフランシスコ	名詞,固有名詞,*,*,*,サンフランシスコ,サンフランシスコ
に	助詞,格助詞,*,*,*,に,ニ
限ら	動詞,*,*,未然形,ラ行五段,限る,カギラ
ず	助動詞,*,*,連用形,*,ず,ズ
アメリカ	名詞,固有名詞,*,*,*,アメリカ,アメリカ
は	助詞,係助詞,*,*,*,は,ワ
殆ど	名詞,*,*,*,*,殆ど,ホトンド
が	助詞,格助詞,*,*,*,が,ガ
フリーウェー	名詞,*,*,*,*,フリーウェー,フリーウェー
で	助詞,格助詞,*,*,*,で,デ
高速	形状詞,*,*,*,*,高速,コーソク
道路	名詞,*,*,*,*,道路,ドーロ
みたい	形状詞,*,*,*,*,みたい,ミタイ
な	助動詞,*,*,連体形,*,だ,ナ
EOS
感じ	名詞,*,*,*,*,感じ,カンジ
で	助動詞,*,*,連用形,*,だ,デ
凄く	形容詞,*,*,連用形,形容詞型,凄い,スゴク
整備	名詞,*,*,*,*,整備,セービ
さ	動詞,*,*,未然形,サ行変格,為る,サ
れ	助動詞,*,*,連用形,*,れる,レ
た	助動詞,*,*,連体形,*,た,タ
道	名詞,*,*,*,*,道,ミチ
が	助詞,格助詞,*,*,*,が,ガ
全部	名詞,*,*,*,*,全部,ゼンブ
ただ	名詞,*,*,*,*,只,タダ
だっ	助動詞,*,促音便,連用形,*,だ,ダッ
たり	助詞,副助詞,*,*,*,たり,タリ
EOS
橋	名詞,*,*,*,*,橋,ハシ
を	助詞,格助詞,*,*,*,を,オ
渡る	動詞,*,*,連体形,ラ行五段,渡る,ワタル
の	助詞,準体助詞,*,*,*,の,ノ
も	助詞,副助詞,*,*,*,も,モ
往復	名詞,*,*,*,*,往復,オーフク
で	助詞,格助詞,*,*,*,で,デ
一	名詞,数詞,*,*,*,一,イチ
ドル	名詞,接尾辞,*,*,*,ドル,ドル
と	助詞,格助詞,*,*,*,と,ト
か	助詞,副助詞,*,*,*,か,カ
二	名詞,数詞,*,*,*,二,ニ
ドル	名詞,接尾辞,*,*,*,ドル,ドル
だっ	助動詞,*,促音便,連用形,*,だ,ダッ
たり	助詞,副助詞,*,*,*,たり,タリ
し	動詞,*,*,連用形,サ行変格,為る,シ
て	助詞,接続助詞,*,*,*,て,テ
凄く	形容詞,*,*,連用形,形容詞型,凄い,スゴク
安かっ	形容詞,*,促音便,連用形,形容詞型,安い,ヤスカッ
た	助動詞,*,*,連体形,*,た,タ
の	助詞,準体助詞,*,*,*,の,ノ
で	助動詞,*,*,連用形,*,だ,デ
EOS
凄く	形容詞,*,*,連用形,形容詞型,凄い,スゴク
いい	形容詞,*,*,終止形,形容詞型,良い,イー
な	助詞,終助詞,*,*,*,な,ナ
と	助詞,格助詞,*,*,*,と,ト
思い	動詞,*,*,連用形,ワア行五段,思う,オモイ
まし	助動詞,*,*,連用形,*,ます,マシ
た	助動詞,*,*,終止形,*,た,タ
EOS
で	接続詞,*,*,*,*,で,デ
更に	接続詞,*,*,*,*,更に,サラニ
道	名詞,*,*,*,*,道,ミチ
が	助詞,格助詞,*,*,*,が,ガ
凄く	形容詞,*,*,連用形,形容詞型,凄い,スゴク
広く	形容詞,*,*,連用形,形容詞型,広い,ヒロク
て	助詞,接続助詞,*,*,*,て,テ
EOS
日本	名詞,固有名詞,*,*,*,日本,ニホン
の	助詞,格助詞,*,*,*,の,ノ
よう	形状詞,*,*,*,*,様,ヨー
に	助動詞,*,*,連用形,*,だ,ニ
こちゃこちゃ	副詞,*,*,*,*,こちゃこちゃ,コチャコチャ
と	助詞,格助詞,*,*,*,と,ト
し	動詞,*,*,連用形,サ行変格,為る,シ
て	助動詞,*,*,未然形,*,てる,テ
ない	助動詞,*,*,連体形,*,ない,ナイ
の	助詞,準体助詞,*,*,*,の,ノ
で	助動詞,*,*,連用形,*,だ,デ
EOS
これ	名詞,代名詞,*,*,*,此れ,コレ
だっ	助動詞,*,促音便,連用形,*,だ,ダッ
たら	助動詞,*,*,仮定形,*,た,タラ
初心	名詞,*,*,*,*,初心,ショシン
者	名詞,接尾辞,*,*,*,者,シャ
の	助詞,格助詞,*,*,*,の,ノ
私	名詞,代名詞,*,*,*,私,ワタシ
で	助詞,格助詞,*,*,*,で,デ
も	助詞,副助詞,*,*,*,も,モ
運転	名詞,*,*,*,*,運転,ウンテン
できる	動詞,*,*,連体形,カ行上一段,出来る,デキル
ん	助詞,準体助詞,*,*,*,の,ン
じゃ	助動詞,*,融合,連用形,*,だ,ジャ
ない	形容詞,*,*,終止形,形容詞型,無い,ナイ
かしら	助詞,終助詞,*,*,*,かしら,カシラ
と	助詞,格助詞,*,*,*,と,ト
いう	動詞,*,*,連体形,ワア行五段,言う,ユー
風	形状詞,*,*,*,*,風,フー
に	助動詞,*,*,連用形,*,だ,ニ
EOS
思い	動詞,*,*,連用形,ワア行五段,思う,オモイ
まし	助動詞,*,*,連用形,*,ます,マシ
た	助動詞,*,*,終止形,*,た,タ
EOS
で	接続詞,*,*,*,*,で,デ
ちょうど	副詞,*,*,*,*,丁度,チョード
私	名詞,代名詞,*,*,*,私,ワタシ
の	助詞,格助詞,*,*,*,の,ノ
行っ	動詞,*,促音便,連用形,カ行五段,行く,イッ
た	助動詞,*,*,連体形,*,た,タ
時期	名詞,*,*,*,*,時期,ジキ
が	助詞,格助詞,*,*,*,が,ガ
着い	動詞,*,イ音便,連用形,カ行五段,着く,ツイ
た	助動詞,*,*,連体形,*,た,タ
の	助詞,準体助詞,*,*,*,の,ノ
が	助詞,格助詞,*,*,*,が,ガ
十	名詞,数詞,*,*,*,十,ジュー
六	名詞,数詞,*,*,*,六,ロク
日	名詞,接尾辞,*,*,*,日,ニチ
だっ	助動詞,*,促音便,連用形,*,だ,ダッ
た	助動詞,*,*,連体形,*,た,タ
ん	助詞,準体助詞,*,*,*,の,ン
です	助動詞,*,*,終止形,*,です,デス
けれど	助詞,接続助詞,*,*,*,けれど,ケレド
も	助詞,副助詞,*,*,*,も,モ
EOS
町	名詞,*,*,*,*,町,マチ
が	助詞,格助詞,*,*,*,が,ガ
凄く	形容詞,*,*,連用形,形容詞型,凄い,スゴク
クリスマス	名詞,*,*,*,*,クリスマス,クリスマス
一色	名詞,*,*,*,*,一色,イッショク
に	助詞,格助詞,*,*,*,に,ニ
なっ	動詞,*,促音便,連用形,ラ行五段,成る,ナッ
て	助詞,接続助詞,*,*,*,て,テ
い	動詞,*,*,連用形,ア行上一段,居る,イ
て	助詞,接続助詞,*,*,*,て,テ
EOS
サンフランシスコ	名詞,固有名詞,*,*,*,サンフランシスコ,サンフランシスコ
の	助詞,格助詞,*,*,*,の,ノ
一番	副詞,*,*,*,*,一番,イチバン
栄え	動詞,*,*,連用形,ア行下一段,栄える,サカエ
てる	助動詞,*,*,連体形,*,てる,テル
ユニオン	名詞,*,*,*,*,ユニオン,ユニオン
スクエア	名詞,*,*,*,*,スクエア,スクエア
と	助詞,格助詞,*,*,*,と,ト
いう	動詞,*,*,連体形,ワア行五段,言う,ユー
ところ	名詞,*,*,*,*,所,トコロ
に	助詞,格助詞,*,*,*,に,ニ
大きな	連体詞,*,*,*,*,大きな,オーキナ
クリスマスツリー	名詞,*,*,*,*,クリスマスツリー,クリスマスツリー
が	助詞,格助詞,*,*,*,が,ガ
あっ	動詞,*,促音便,連用形,ラ行五段,有る,アッ
て	助詞,接続助詞,*,*,*,て,テ
EOS
日本	名詞,固有名詞,*,*,*,日本,ニホン
で	助詞,格助詞,*,*,*,で,デ
見る	動詞,*,*,連体形,マ行上一段,見る,ミル
ツリー	名詞,*,*,*,*,ツリー,ツリー
より	助詞,格助詞,*,*,*,より,ヨリ
も	助詞,副助詞,*,*,*,も,モ
本当	名詞,*,*,*,*,本当,ホント
に	助詞,格助詞,*,*,*,に,ニ
凄く	形容詞,*,*,連用形,形容詞型,凄い,スゴク
おっきかっ	形容詞,*,促音便,連用形,形容詞型,大きい,オッキカッ
た	助動詞,*,*,連体形,*,た,タ
の	助詞,準体助詞,*,*,*,の,ノ
で	助動詞,*,*,連用形,*,だ,デ
EOS
奇麗	形状詞,*,*,*,*,奇麗,キレー
だ	助動詞,*,*,終止形,*,だ,ダ
な	助詞,終助詞,*,*,*,な,ナ
と	助詞,格助詞,*,*,*,と,ト
思っ	動詞,*,促音便,連用形,ワア行五段,思う,オモッ
て	助詞,接続助詞,*,*,*,て,テ
何	名詞,代名詞,*,*,*,何,ナン
か	助詞,副助詞,*,*,*,か,カ
アメリカ	名詞,固有名詞,*,*,*,アメリカ,アメリカ
に	助詞,格助詞,*,*,*,に,ニ
来	動詞,*,*,連用形,カ行変格,来る,キ
た	助動詞,*,*,終止形,*,た,タ
な	助詞,終助詞,*,*,*,な,ナ
って	助詞,副助詞,*,*,*,って,ッテ
いう	動詞,*,*,連体形,ワア行五段,言う,ユー
感じ	名詞,*,*,*,*,感じ,カンジ
が	助詞,格助詞,*,*,*,が,ガ
し	動詞,*,*,連用形,サ行変格,為る,シ
て	助詞,接続助詞,*,*,*,て,テ
嬉しかっ	形容詞,*,促音便,連用形,形容詞型,嬉しい,ウレシカッ
た	助動詞,*,*,終止形,*,た,タ
です	助動詞,*,*,終止形,*,です,デス
EOS
で	助詞,格助詞,*,*,*,で,デ
も	助詞,副助詞,*,*,*,も,モ
実際	名詞,*,*,*,*,実際,ジッサイ
クリスマス	名詞,*,*,*,*,クリスマス,クリスマス
の	助詞,格助詞,*,*,*,の,ノ
日	名詞,*,*,*,*,日,ヒ
に	助詞,格助詞,*,*,*,に,ニ
なっ	動詞,*,促音便,連用形,ラ行五段,成る,ナッ
て	助詞,接続助詞,*,*,*,て,テ
しまう	動詞,*,*,終止形,ワア行五段,仕舞う,シマウ
と	助詞,格助詞,*,*,*,と,ト
日本	名詞,固有名詞,*,*,*,日本,ニホン
の	助詞,格助詞,*,*,*,の,ノ
元旦	名詞,*,*,*,*,元旦,ガンタン
の	助詞,格助詞,*,*,*,の,ノ
よう	形状詞,*,*,*,*,様,ヨー
に	助動詞,*,*,連用形,*,だ,ニ
町	名詞,*,*,*,*,町,マチ
が	助詞,格助詞,*,*,*,が,ガ
凄く	形容詞,*,*,連用形,形容詞型,凄い,スゴク
静か	形状詞,*,*,*,*,静か,シズカ
に	助動詞,*,*,連用形,*,だ,ニ
なっ	動詞,*,促音便,連用形,ラ行五段,成る,ナッ
て	助詞,接続助詞,*,*,*,て,テ
しまっ	動詞,*,促音便,連用形,ワア行五段,仕舞う,シマッ
て	助詞,接続助詞,*,*,*,て,テ
お	接頭辞,*,*,*,*,御,オ
店	名詞,*,*,*,*,店,ミセ
も	助詞,副助詞,*,*,*,も,モ
本当	名詞,*,*,*,*,本当,ホント
に	助詞,格助詞,*,*,*,に,ニ
早く	形容詞,*,*,連用形,形容詞型,早い,ハヤク
閉まっ	動詞,*,促音便,連用形,ラ行五段,閉まる,シマッ
て	助詞,接続助詞,*,*,*,て,テ
しまっ	動詞,*,促音便,連用形,ワア行五段,仕舞う,シマッ
て	助詞,接続助詞,*,*,*,て,テ
EOS
二十	名詞,数詞,*,*,*,二十,ニジュー
四	名詞,数詞,*,*,*,四,ヨ
時間	名詞,接尾辞,*,*,*,時間,ジカン
年中	副詞,*,*,*,*,年中,ネンジュー
無休	名詞,*,*,*,*,無休,ムキュー
って	助詞,副助詞,*,*,*,って,ッテ
謳っ	動詞,*,促音便,連用形,ワア行五段,謳う,ウタッ
てる	助動詞,*,*,連体形,*,てる,テル
お	接頭辞,*,*,*,*,御,オ
店	名詞,*,*,*,*,店,ミセ
の	助詞,格助詞,*,*,*,の,ノ
はず	名詞,*,*,*,*,筈,ハズ
な	助動詞,*,*,連体形,*,だ,ナ
の	助詞,準体助詞,*,*,*,の,ノ
に	助詞,格助詞,*,*,*,に,ニ
クリスマス	名詞,*,*,*,*,クリスマス,クリスマス
は	助詞,係助詞,*,*,*,は,ワ
閉まっ	動詞,*,促音便,連用形,ラ行五段,閉まる,シマッ
て	助詞,接続助詞,*,*,*,て,テ
い	動詞,*,*,連用形,ア行上一段,居る,イ
たり	助詞,副助詞,*,*,*,たり,タリ
し	動詞,*,*,連用形,サ行変格,為る,シ
て	助詞,接続助詞,*,*,*,て,テ
EOS
本当	名詞,*,*,*,*,本当,ホント
に	助詞,格助詞,*,*,*,に,ニ
身	名詞,*,*,*,*,身,ミ
動き	名詞,*,*,*,*,動き,ウゴキ
が	助詞,格助詞,*,*,*,が,ガ
取れ	動詞,*,*,未然形,ラ行下一段,取れる,トレ
なく	助動詞,*,*,連用形,*,ない,ナク
なっ	動詞,*,促音便,連用形,ラ行五段,成る,ナッ
て	助詞,接続助詞,*,*,*,て,テ
しまっ	動詞,*,促音便,連用形,ワア行五段,仕舞う,シマッ
て	助詞,接続助詞,*,*,*,て,テ
あたし	名詞,代名詞,*,*,*,私,アタシ
達	名詞,接尾辞,*,*,*,達,タチ
は	助詞,係助詞,*,*,*,は,ワ
とても	副詞,*,*,*,*,迚も,トテモ
困り	動詞,*,*,連用形,ラ行五段,困る,コマリ
まし	助動詞,*,*,連用形,*,ます,マシ
た	助動詞,*,*,終止形,*,た,タ
EOS
で	接続詞,*,*,*,*,で,デ
結局	副詞,*,*,*,*,結局,ケッキョク
何	名詞,代名詞,*,*,*,何,ナン
か	助詞,副助詞,*,*,*,か,カ
EOS
セブン	名詞,*,*,*,*,セブン,セブン
イレブン	名詞,*,*,*,*,イレブン,イレブン
